id,latitude,longitude,elevation,networkCode,stationCode,locationCode
2C.BIT06.,64.048840,-21.266940,414.0,2C,BIT06,
2C.BLK22.,64.040660,-21.475620,320.0,2C,BLK22,
2C.FAL44.00,64.101360,-21.270130,250.0,2C,FAL44,00
2C.GAN02.,64.094800,-21.356950,295.0,2C,GAN02,
2C.GRH43.00,64.013720,-21.418150,301.0,2C,GRH43,00
2C.JAK25.,64.040440,-21.343320,395.0,2C,JAK25,
2C.KAP01.,63.943020,-21.413640,212.0,2C,KAP01,
2C.KAT03.,64.078870,-21.166160,346.0,2C,KAT03,
2C.LAK24.,64.008640,-21.385380,351.0,2C,LAK24,
2C.LAM08.,64.004540,-21.484230,266.0,2C,LAM08,
2C.LHA40.00,64.024100,-21.048850,111.0,2C,LHA40,00
2C.MEI05.,63.985670,-21.421580,310.0,2C,MEI05,
2C.MOS29.,64.126310,-21.364190,315.0,2C,MOS29,
2C.NUP27.,64.001750,-21.251000,297.0,2C,NUP27,
2C.OHO23.,64.026540,-21.348160,378.0,2C,OHO23,
2C.OLF42.00,64.116390,-21.140560,150.0,2C,OLF42,00
2C.OLK26.,64.062924,-21.255108,374.0,2C,OLK26,
2C.REY09.,64.024660,-21.375030,402.0,2C,REY09,
2C.SKA10.,64.047400,-21.314170,428.0,2C,SKA10,
2C.SKO28.,64.128020,-21.314610,345.0,2C,SKO28,
2C.THF21.,64.039270,-21.371850,381.0,2C,THF21,
2C.THJ07.,64.064430,-21.386080,441.0,2C,THJ07,
2C.THU04.,63.986980,-21.247740,243.0,2C,THU04,
2C.URD20.,64.016280,-21.305660,345.0,2C,URD20,
2C.VAL41.00,64.079210,-21.468530,230.0,2C,VAL41,00
ON.GRAFN.00,64.128550,-21.261739,300.0,ON,GRAFN,00
ON.HUMLI.00,64.051300,-21.397100,326.0,ON,HUMLI,00
ON.HVH.00,64.009700,-21.335400,381.0,ON,HVH,00
ON.INNST.00,64.068900,-21.326000,496.0,ON,INNST,00
ON.KOLDU.00,64.090230,-21.269980,365.0,ON,KOLDU,00
ON.KRIST.00,64.024850,-21.500430,362.0,ON,KRIST,00
ON.LSKAR.00,64.033860,-21.299490,393.0,ON,LSKAR,00
ON.NESJV.00,64.115500,-21.235119,150.0,ON,NESJV,00
ON.SKEGG.00,64.107917,-21.298833,344.0,ON,SKEGG,00
ON.SVIN.00,64.056200,-21.450000,260.0,ON,SVIN,00
SI.BJA.00,63.945900,-21.302580,57.0,SI,BJA,00
SI.EDA.00,64.082580,-21.388980,264.0,SI,EDA,00
SI.HEI.00,64.199780,-21.236040,162.0,SI,HEI,00
SI.KAS.00,64.022900,-21.852000,108.0,SI,KAS,00
SI.KRO.00,64.098060,-21.119760,147.0,SI,KRO,00
SI.SAN.00,64.056010,-21.570130,208.0,SI,SAN,00
SI.SOL.00,63.928960,-20.943570,30.0,SI,SOL,00
SI.VOS.00,63.852790,-21.703570,8.0,SI,VOS,00
